Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,ABB,35132,OPTSTK,CE,6700,ABB INDIA LIMITED,ABB MAR 6700 CE,ABB30MAR26C6700,2026-03-30,125,0.05
NFO,nse_fo,ABB,35133,OPTSTK,PE,6700,ABB INDIA LIMITED,ABB MAR 6700 PE,ABB30MAR26P6700,2026-03-30,125,0.05
NFO,nse_fo,AMBUJACEM,35186,OPTSTK,CE,345,AMBUJA CEMENTS LTD,AMBUJACEM APR 345 CE,AMBUJACEM28APR26C345,2026-04-28,1050,0.05
NFO,nse_fo,AMBUJACEM,35187,OPTSTK,PE,345,AMBUJA CEMENTS LTD,AMBUJACEM APR 345 PE,AMBUJACEM28APR26P345,2026-04-28,1050,0.05
NFO,nse_fo,AMBER,35191,OPTSTK,CE,8200,AMBER ENTERPRISES (I) LTD,AMBER MAR 8200 CE,AMBER30MAR26C8200,2026-03-30,100,0.05
NFO,nse_fo,AMBER,35193,OPTSTK,PE,8200,AMBER ENTERPRISES (I) LTD,AMBER MAR 8200 PE,AMBER30MAR26P8200,2026-03-30,100,0.05
NFO,nse_fo,NIFTY,35229,OPTIDX,CE,30000,NIFTY,NIFTY 30th JUN 30000 CE,NIFTY30JUN26C30000,2026-06-30,65,0.05
NFO,nse_fo,NIFTY,35231,OPTIDX,PE,30000,NIFTY,NIFTY 30th JUN 30000 PE,NIFTY30JUN26P30000,2026-06-30,65,0.05
NFO,nse_fo,NIFTY,35235,OPTIDX,CE,30000,NIFTY,NIFTY 29th DEC 30000 CE,NIFTY29DEC26C30000,2026-12-29,65,0.05
NFO,nse_fo,NIFTY,35237,OPTIDX,PE,30000,NIFTY,NIFTY 29th DEC 30000 PE,NIFTY29DEC26P30000,2026-12-29,65,0.05
NFO,nse_fo,ASTRAL,35242,OPTSTK,CE,1880,ASTRAL LIMITED,ASTRAL MAR 1880 CE,ASTRAL30MAR26C1880,2026-03-30,425,0.05
NFO,nse_fo,ASTRAL,35243,OPTSTK,PE,1880,ASTRAL LIMITED,ASTRAL MAR 1880 PE,ASTRAL30MAR26P1880,2026-03-30,425,0.05
NFO,nse_fo,NIFTY,35262,OPTIDX,CE,30000,NIFTY,NIFTY 29th JUN27 30000 CE,NIFTY29JUN27C30000,2027-06-29,65,0.05
NFO,nse_fo,NIFTY,35263,OPTIDX,PE,30000,NIFTY,NIFTY 29th JUN27 30000 PE,NIFTY29JUN27P30000,2027-06-29,65,0.05
NFO,nse_fo,ABB,35273,OPTSTK,CE,6450,ABB INDIA LIMITED,ABB MAR 6450 CE,ABB30MAR26C6450,2026-03-30,125,0.05
NFO,nse_fo,ABB,35274,OPTSTK,PE,6450,ABB INDIA LIMITED,ABB MAR 6450 PE,ABB30MAR26P6450,2026-03-30,125,0.05
NFO,nse_fo,ABB,35276,OPTSTK,CE,6550,ABB INDIA LIMITED,ABB MAR 6550 CE,ABB30MAR26C6550,2026-03-30,125,0.05
NFO,nse_fo,ABB,35277,OPTSTK,PE,6550,ABB INDIA LIMITED,ABB MAR 6550 PE,ABB30MAR26P6550,2026-03-30,125,0.05
NFO,nse_fo,ABB,35283,OPTSTK,CE,6650,ABB INDIA LIMITED,ABB MAR 6650 CE,ABB30MAR26C6650,2026-03-30,125,0.05
NFO,nse_fo,ABB,35284,OPTSTK,PE,6650,ABB INDIA LIMITED,ABB MAR 6650 PE,ABB30MAR26P6650,2026-03-30,125,0.05
NFO,nse_fo,ABB,35292,OPTSTK,CE,6300,ABB INDIA LIMITED,ABB APR 6300 CE,ABB28APR26C6300,2026-04-28,125,0.05
NFO,nse_fo,ABB,35293,OPTSTK,PE,6300,ABB INDIA LIMITED,ABB APR 6300 PE,ABB28APR26P6300,2026-04-28,125,0.05
NFO,nse_fo,ABB,35296,OPTSTK,CE,6500,ABB INDIA LIMITED,ABB APR 6500 CE,ABB28APR26C6500,2026-04-28,125,0.05
NFO,nse_fo,ABB,35297,OPTSTK,PE,6500,ABB INDIA LIMITED,ABB APR 6500 PE,ABB28APR26P6500,2026-04-28,125,0.05
NFO,nse_fo,ADANIENSOL,35314,OPTSTK,CE,1180,ADANI ENERGY SOLUTION LTD,ADANIENSOL APR 1180 CE,ADANIENSOL28APR26C1180,2026-04-28,675,0.05
NFO,nse_fo,ADANIENSOL,35315,OPTSTK,PE,1180,ADANI ENERGY SOLUTION LTD,ADANIENSOL APR 1180 PE,ADANIENSOL28APR26P1180,2026-04-28,675,0.05
NFO,nse_fo,NIFTY,35346,OPTIDX,CE,30000,NIFTY,NIFTY 28th DEC27 30000 CE,NIFTY28DEC27C30000,2027-12-28,65,0.05
NFO,nse_fo,NIFTY,35347,OPTIDX,PE,30000,NIFTY,NIFTY 28th DEC27 30000 PE,NIFTY28DEC27P30000,2027-12-28,65,0.05
NFO,nse_fo,NIFTY,35352,OPTIDX,CE,30000,NIFTY,NIFTY 27th JUN28 30000 CE,NIFTY27JUN28C30000,2028-06-27,65,0.05
NFO,nse_fo,NIFTY,35353,OPTIDX,PE,30000,NIFTY,NIFTY 27th JUN28 30000 PE,NIFTY27JUN28P30000,2028-06-27,65,0.05
NFO,nse_fo,AMBER,35364,OPTSTK,CE,7700,AMBER ENTERPRISES (I) LTD,AMBER MAR 7700 CE,AMBER30MAR26C7700,2026-03-30,100,0.05
NFO,nse_fo,AMBER,35365,OPTSTK,PE,7700,AMBER ENTERPRISES (I) LTD,AMBER MAR 7700 PE,AMBER30MAR26P7700,2026-03-30,100,0.05
NFO,nse_fo,APOLLOHOSP,35382,OPTSTK,CE,8650,APOLLO HOSPITALS ENTER. L,APOLLOHOSP MAR 8650 CE,APOLLOHOSP30MAR26C8650,2026-03-30,125,0.05
NFO,nse_fo,APOLLOHOSP,35388,OPTSTK,CE,8700,APOLLO HOSPITALS ENTER. L,APOLLOHOSP APR 8700 CE,APOLLOHOSP28APR26C8700,2026-04-28,125,0.05
NFO,nse_fo,APOLLOHOSP,35389,OPTSTK,PE,8700,APOLLO HOSPITALS ENTER. L,APOLLOHOSP APR 8700 PE,APOLLOHOSP28APR26P8700,2026-04-28,125,0.05
NFO,nse_fo,BHARATFORG,35392,OPTSTK,CE,1960,BHARAT FORGE LTD,BHARATFORG MAR 1960 CE,BHARATFORG30MAR26C1960,2026-03-30,500,0.05
NFO,nse_fo,BHARATFORG,35393,OPTSTK,PE,1960,BHARAT FORGE LTD,BHARATFORG MAR 1960 PE,BHARATFORG30MAR26P1960,2026-03-30,500,0.05
NFO,nse_fo,ABB,35420,OPTSTK,CE,6750,ABB INDIA LIMITED,ABB MAR 6750 CE,ABB30MAR26C6750,2026-03-30,125,0.05
NFO,nse_fo,ABB,35421,OPTSTK,PE,6750,ABB INDIA LIMITED,ABB MAR 6750 PE,ABB30MAR26P6750,2026-03-30,125,0.05
NFO,nse_fo,ASIANPAINT,35446,OPTSTK,CE,1860,ASIAN PAINTS LIMITED,ASIANPAINT MAR 1860 CE,ASIANPAINT30MAR26C1860,2026-03-30,250,0.05
NFO,nse_fo,ASIANPAINT,35447,OPTSTK,PE,1860,ASIAN PAINTS LIMITED,ASIANPAINT MAR 1860 PE,ASIANPAINT30MAR26P1860,2026-03-30,250,0.05
NFO,nse_fo,ASIANPAINT,35460,OPTSTK,CE,1800,ASIAN PAINTS LIMITED,ASIANPAINT APR 1800 CE,ASIANPAINT28APR26C1800,2026-04-28,250,0.05
NFO,nse_fo,ASIANPAINT,35461,OPTSTK,PE,1800,ASIAN PAINTS LIMITED,ASIANPAINT APR 1800 PE,ASIANPAINT28APR26P1800,2026-04-28,250,0.05
NFO,nse_fo,ASIANPAINT,35462,OPTSTK,CE,1880,ASIAN PAINTS LIMITED,ASIANPAINT APR 1880 CE,ASIANPAINT28APR26C1880,2026-04-28,250,0.05
NFO,nse_fo,ASIANPAINT,35463,OPTSTK,PE,1880,ASIAN PAINTS LIMITED,ASIANPAINT APR 1880 PE,ASIANPAINT28APR26P1880,2026-04-28,250,0.05
NFO,nse_fo,ASTRAL,35464,OPTSTK,CE,1860,ASTRAL LIMITED,ASTRAL MAR 1860 CE,ASTRAL30MAR26C1860,2026-03-30,425,0.05
NFO,nse_fo,ASTRAL,35465,OPTSTK,PE,1860,ASTRAL LIMITED,ASTRAL MAR 1860 PE,ASTRAL30MAR26P1860,2026-03-30,425,0.05
NFO,nse_fo,ABB,35466,OPTSTK,CE,6850,ABB INDIA LIMITED,ABB MAR 6850 CE,ABB30MAR26C6850,2026-03-30,125,0.05
NFO,nse_fo,ABB,35467,OPTSTK,PE,6850,ABB INDIA LIMITED,ABB MAR 6850 PE,ABB30MAR26P6850,2026-03-30,125,0.05
NFO,nse_fo,ABB,35472,OPTSTK,CE,6950,ABB INDIA LIMITED,ABB MAR 6950 CE,ABB30MAR26C6950,2026-03-30,125,0.05
NFO,nse_fo,ABB,35473,OPTSTK,PE,6950,ABB INDIA LIMITED,ABB MAR 6950 PE,ABB30MAR26P6950,2026-03-30,125,0.05
NFO,nse_fo,AUROPHARMA,35474,OPTSTK,CE,1500,AUROBINDO PHARMA LTD,AUROPHARMA APR 1500 CE,AUROPHARMA28APR26C1500,2026-04-28,550,0.05
NFO,nse_fo,AUROPHARMA,35475,OPTSTK,PE,1500,AUROBINDO PHARMA LTD,AUROPHARMA APR 1500 PE,AUROPHARMA28APR26P1500,2026-04-28,550,0.05
NFO,nse_fo,COALINDIA,35498,OPTSTK,CE,522.5,COAL INDIA LTD,COALINDIA APR 522.5 CE,COALINDIA28APR26C522.5,2026-04-28,1350,0.05
NFO,nse_fo,COALINDIA,35499,OPTSTK,PE,522.5,COAL INDIA LTD,COALINDIA APR 522.5 PE,COALINDIA28APR26P522.5,2026-04-28,1350,0.05
NFO,nse_fo,COALINDIA,35500,OPTSTK,CE,527.5,COAL INDIA LTD,COALINDIA APR 527.5 CE,COALINDIA28APR26C527.5,2026-04-28,1350,0.05
NFO,nse_fo,COALINDIA,35501,OPTSTK,PE,527.5,COAL INDIA LTD,COALINDIA APR 527.5 PE,COALINDIA28APR26P527.5,2026-04-28,1350,0.05
NFO,nse_fo,BANDHANBNK,35510,OPTSTK,CE,197.5,BANDHAN BANK LIMITED,BANDHANBNK MAR 197.5 CE,BANDHANBNK30MAR26C197.5,2026-03-30,3600,0.01
NFO,nse_fo,BANDHANBNK,35511,OPTSTK,PE,197.5,BANDHAN BANK LIMITED,BANDHANBNK MAR 197.5 PE,BANDHANBNK30MAR26P197.5,2026-03-30,3600,0.01
NFO,nse_fo,COALINDIA,35518,OPTSTK,CE,525,COAL INDIA LTD,COALINDIA MAY 525 CE,COALINDIA26MAY26C525,2026-05-26,1350,0.05
NFO,nse_fo,COALINDIA,35519,OPTSTK,PE,525,COAL INDIA LTD,COALINDIA MAY 525 PE,COALINDIA26MAY26P525,2026-05-26,1350,0.05
NFO,nse_fo,ABB,35536,OPTSTK,CE,6700,ABB INDIA LIMITED,ABB APR 6700 CE,ABB28APR26C6700,2026-04-28,125,0.05
NFO,nse_fo,ABB,35537,OPTSTK,PE,6700,ABB INDIA LIMITED,ABB APR 6700 PE,ABB28APR26P6700,2026-04-28,125,0.05
NFO,nse_fo,ABB,35543,OPTSTK,CE,6900,ABB INDIA LIMITED,ABB APR 6900 CE,ABB28APR26C6900,2026-04-28,125,0.05
NFO,nse_fo,ABB,35545,OPTSTK,PE,6900,ABB INDIA LIMITED,ABB APR 6900 PE,ABB28APR26P6900,2026-04-28,125,0.05
NFO,nse_fo,EICHERMOT,35610,OPTSTK,CE,9100,EICHER MOTORS LTD,EICHERMOT MAR 9100 CE,EICHERMOT30MAR26C9100,2026-03-30,100,0.05
NFO,nse_fo,EICHERMOT,35612,OPTSTK,PE,9100,EICHER MOTORS LTD,EICHERMOT MAR 9100 PE,EICHERMOT30MAR26P9100,2026-03-30,100,0.05
NFO,nse_fo,BHARATFORG,35672,OPTSTK,CE,1860,BHARAT FORGE LTD,BHARATFORG MAR 1860 CE,BHARATFORG30MAR26C1860,2026-03-30,500,0.05
NFO,nse_fo,BHARATFORG,35673,OPTSTK,PE,1860,BHARAT FORGE LTD,BHARATFORG MAR 1860 PE,BHARATFORG30MAR26P1860,2026-03-30,500,0.05
NFO,nse_fo,BHARATFORG,35680,OPTSTK,CE,2040,BHARAT FORGE LTD,BHARATFORG MAR 2040 CE,BHARATFORG30MAR26C2040,2026-03-30,500,0.05
NFO,nse_fo,BHARATFORG,35681,OPTSTK,PE,2040,BHARAT FORGE LTD,BHARATFORG MAR 2040 PE,BHARATFORG30MAR26P2040,2026-03-30,500,0.05
NFO,nse_fo,APLAPOLLO,35713,OPTSTK,CE,2440,APL APOLLO TUBES LTD,APLAPOLLO MAR 2440 CE,APLAPOLLO30MAR26C2440,2026-03-30,350,0.05
NFO,nse_fo,APLAPOLLO,35714,OPTSTK,PE,2440,APL APOLLO TUBES LTD,APLAPOLLO MAR 2440 PE,APLAPOLLO30MAR26P2440,2026-03-30,350,0.05
NFO,nse_fo,BLUESTARCO,35736,OPTSTK,CE,2220,BLUE STAR LIMITED,BLUESTARCO MAR 2220 CE,BLUESTARCO30MAR26C2220,2026-03-30,325,0.05
NFO,nse_fo,BLUESTARCO,35739,OPTSTK,PE,2220,BLUE STAR LIMITED,BLUESTARCO MAR 2220 PE,BLUESTARCO30MAR26P2220,2026-03-30,325,0.05
NFO,nse_fo,APOLLOHOSP,35770,OPTSTK,CE,8900,APOLLO HOSPITALS ENTER. L,APOLLOHOSP MAR 8900 CE,APOLLOHOSP30MAR26C8900,2026-03-30,125,0.05
NFO,nse_fo,APOLLOHOSP,35771,OPTSTK,PE,8900,APOLLO HOSPITALS ENTER. L,APOLLOHOSP MAR 8900 PE,APOLLOHOSP30MAR26P8900,2026-03-30,125,0.05
NFO,nse_fo,BSE,35786,OPTSTK,CE,3550,BSE LIMITED,BSE MAR 3550 CE,BSE30MAR26C3550,2026-03-30,375,0.05
NFO,nse_fo,HINDPETRO,35796,OPTSTK,CE,305,HINDUSTAN PETROLEUM CORP,HINDPETRO APR 305 CE,HINDPETRO28APR26C305,2026-04-28,2025,0.05
